Security Code,Record Type,Trade ID,Price ,Quantity ,Trade Type ,Trade Time
1398,T,337,5.21,4000,0,2.01E+13
1398,T,338,5.21,29000,0,2.01E+13
1398,T,339,5.21,17000,0,2.01E+13
1398,T,340,5.2,1000,0,2.01E+13
1398,T,341,5.2,10000,0,2.01E+13
1398,T,342,5.2,74000,0,2.01E+13
1398,T,343,5.2,3000,0,2.01E+13
1398,T,344,5.2,20000,0,2.01E+13
1398,T,345,5.2,10000,0,2.01E+13
1398,T,346,5.21,3000,100,2.01E+13
1398,T,347,5.21,25000,100,2.01E+13
1398,T,348,5.2,1000,0,2.01E+13
1398,T,349,5.2,1000,0,2.01E+13
1398,T,350,5.2,28000,0,2.01E+13
1398,T,351,5.21,4000,0,2.01E+13
1398,T,352,5.21,2000,0,2.01E+13
1398,T,353,5.195,2000,101,2.01E+13
1398,T,354,5.2,1000,101,2.01E+13
1398,T,355,5.2,45000,0,2.01E+13
1398,T,356,5.2,3000,0,2.01E+13
1398,T,357,5.19,23000,0,2.01E+13
1398,T,358,5.19,7000,0,2.01E+13
1398,T,359,5.19,24000,0,2.01E+13
1398,T,360,5.19,15000,0,2.01E+13
1398,T,361,5.19,21000,0,2.01E+13
1398,T,362,5.19,7000,0,2.01E+13
1398,T,363,5.19,18000,0,2.01E+13
1398,T,364,5.21,20000,0,2.01E+13
1398,T,365,5.2,10000,0,2.01E+13
1398,T,366,5.2,40000,0,2.01E+13
1398,T,367,5.2,1000,0,2.01E+13
1398,T,368,5.2,1000,0,2.01E+13
1398,T,369,5.2,49000,0,2.01E+13
1398,T,370,5.21,8000,0,2.01E+13
1398,T,371,5.2,2000,0,2.01E+13
1398,T,372,5.205,2000,101,2.01E+13
1398,T,373,5.205,1000,101,2.01E+13
1398,T,374,5.21,2000,101,2.01E+13
1398,T,375,5.2,48000,0,2.01E+13
1398,T,376,5.2,4000,0,2.01E+13
1398,T,377,5.21,2000,0,2.01E+13
1398,T,378,5.21,1000,0,2.01E+13
1398,T,379,5.21,7000,0,2.01E+13
1398,T,380,5.2,350000,0,2.01E+13
1398,T,381,5.2,112000,0,2.01E+13
1398,T,382,5.2,38000,0,2.01E+13
1398,T,383,5.195,3000,101,2.01E+13
1398,T,384,5.2,200000,0,2.01E+13
1398,T,385,5.2,194000,0,2.01E+13
1398,T,386,5.2,29000,0,2.01E+13
1398,T,387,5.2,2000,0,2.01E+13
1398,T,388,5.2,29000,0,2.01E+13
1398,T,389,5.2,1000,0,2.01E+13
1398,T,390,5.21,2000,0,2.01E+13
1398,T,391,5.19,32000,0,2.01E+13
1398,T,392,5.19,47000,0,2.01E+13
1398,T,393,5.19,16000,0,2.01E+13
1398,T,394,5.19,6000,0,2.01E+13
1398,T,395,5.19,39000,0,2.01E+13
1398,T,396,5.2,2000,0,2.01E+13
1398,T,397,5.2,2000,0,2.01E+13
1398,T,398,5.2,6000,0,2.01E+13
1398,T,399,5.2,1000,0,2.01E+13
1398,T,400,5.2,1000,0,2.01E+13
1398,T,401,5.2,43000,0,2.01E+13
1398,T,402,5.2,1000,0,2.01E+13
1398,T,403,5.205,1000,101,2.01E+13
1398,T,404,5.2,1000,0,2.01E+13
1398,T,405,5.2,56000,0,2.01E+13
1398,T,406,5.2,2000,0,2.01E+13
1398,T,407,5.2,1000,0,2.01E+13
1398,T,408,5.2,22000,0,2.01E+13
1398,T,409,5.2,11000,0,2.01E+13
1398,T,410,5.2,11000,0,2.01E+13
1398,T,411,5.2,6000,0,2.01E+13
1398,T,412,5.2,25000,0,2.01E+13
1398,T,413,5.2,10000,0,2.01E+13
1398,T,414,5.2,40000,0,2.01E+13
1398,T,415,5.2,5000,0,2.01E+13
1398,T,416,5.21,9000,0,2.01E+13
1398,T,417,5.21,1000,0,2.01E+13
1398,T,418,5.2,2000,0,2.01E+13
1398,T,419,5.2,1000,0,2.01E+13
1398,T,420,5.21,2000,0,2.01E+13
1398,T,421,5.21,4000,0,2.01E+13
1398,T,422,5.21,1000,0,2.01E+13
1398,T,423,5.2,16000,0,2.01E+13
1398,T,424,5.2,2000,0,2.01E+13
1398,T,425,5.2,21000,0,2.01E+13
1398,T,426,5.2,1000,0,2.01E+13
1398,T,427,5.2,6000,0,2.01E+13
1398,T,428,5.2,6000,0,2.01E+13
1398,T,429,5.2,22000,0,2.01E+13
1398,T,430,5.2,1000,0,2.01E+13
1398,T,431,5.2,10000,0,2.01E+13
1398,T,432,5.2,4000,0,2.01E+13
1398,T,433,5.2,6000,0,2.01E+13
1398,T,434,5.2,45000,0,2.01E+13
1398,T,435,5.2,9000,0,2.01E+13
1398,T,436,5.2,5000,0,2.01E+13
1398,T,437,5.2,60000,0,2.01E+13
1398,T,438,5.2,137000,0,2.01E+13
1398,T,439,5.2,17000,0,2.01E+13
1398,T,440,5.2,17000,0,2.01E+13
1398,T,441,5.2,1000,101,2.01E+13
1398,T,442,5.2,5000,101,2.01E+13
1398,T,443,5.2,2000,101,2.01E+13
1398,T,444,5.2,2000,101,2.01E+13
1398,T,445,5.2,7000,101,2.01E+13
1398,T,446,5.2,3000,101,2.01E+13
1398,T,447,5.2,2000,101,2.01E+13
1398,T,448,5.21,1000,0,2.01E+13
1398,T,449,5.21,17000,0,2.01E+13
1398,T,450,5.21,24000,0,2.01E+13
1398,T,451,5.21,1000,0,2.01E+13
1398,T,452,5.21,59000,0,2.01E+13
1398,T,453,5.21,17000,0,2.01E+13
1398,T,454,5.21,19000,0,2.01E+13
1398,T,455,5.21,47000,0,2.01E+13
1398,T,456,5.21,15000,0,2.01E+13
1398,T,457,5.21,15000,0,2.01E+13
1398,T,458,5.21,15000,0,2.01E+13
1398,T,459,5.21,1000,0,2.01E+13
1398,T,460,5.2,60000,0,2.01E+13
1398,T,461,5.2,43000,0,2.01E+13
1398,T,462,5.19,3000,0,2.01E+13
1398,T,463,5.2,8000,0,2.01E+13
1398,T,464,5.2,1000,0,2.01E+13
1398,T,465,5.19,1000,0,2.01E+13
1398,T,466,5.2,2000,0,2.01E+13
1398,T,467,5.2,3000,0,2.01E+13
1398,T,468,5.19,17000,0,2.01E+13
1398,T,469,5.19,56000,0,2.01E+13
1398,T,470,5.19,29000,0,2.01E+13
1398,T,471,5.19,11000,0,2.01E+13
1398,T,472,5.19,1000,0,2.01E+13
1398,T,473,5.19,5000,0,2.01E+13
1398,T,474,5.19,33000,0,2.01E+13
1398,T,475,5.19,10000,0,2.01E+13
1398,T,476,5.19,20000,0,2.01E+13
1398,T,477,5.19,3000,0,2.01E+13
1398,T,478,5.19,9000,0,2.01E+13
1398,T,479,5.19,11000,0,2.01E+13
1398,T,480,5.19,3000,0,2.01E+13
1398,T,481,5.195,1000,101,2.01E+13
1398,T,482,5.19,31000,0,2.01E+13
1398,T,483,5.19,47000,0,2.01E+13
1398,T,484,5.2,52000,100,2.01E+13
1398,T,485,5.2,29000,0,2.01E+13
1398,T,486,5.2,1000,0,2.01E+13
1398,T,487,5.2,20000,0,2.01E+13
1398,T,488,5.2,26000,0,2.01E+13
1398,T,489,5.2,2000,0,2.01E+13
1398,T,490,5.2,5000,0,2.01E+13
1398,T,491,5.2,20000,0,2.01E+13
1398,T,492,5.2,4000,0,2.01E+13
1398,T,493,5.2,22000,0,2.01E+13
1398,T,494,5.2,3000,0,2.01E+13
1398,T,495,5.2,10000,0,2.01E+13
1398,T,496,5.21,62000,0,2.01E+13
1398,T,497,5.21,59000,0,2.01E+13
1398,T,498,5.21,1000,0,2.01E+13
1398,T,499,5.21,32000,0,2.01E+13
1398,T,500,5.21,1000,0,2.01E+13
1398,T,501,5.21,17000,0,2.01E+13
1398,T,502,5.21,23000,0,2.01E+13
1398,T,503,5.19,3000,0,2.01E+13
1398,T,504,5.19,4000,0,2.01E+13
1398,T,505,5.2,1000,0,2.01E+13
1398,T,506,5.2,7000,0,2.01E+13
1398,T,507,5.21,30000,0,2.01E+13
1398,T,508,5.19,16000,0,2.01E+13
1398,T,509,5.19,30000,0,2.01E+13
1398,T,510,5.19,29000,0,2.01E+13
1398,T,511,5.19,10000,0,2.01E+13
1398,T,512,5.19,20000,0,2.01E+13
1398,T,513,5.19,9000,0,2.01E+13
1398,T,514,5.19,2000,0,2.01E+13
1398,T,515,5.14,400,102,2.01E+13
1398,T,516,5.2,1000,0,2.01E+13
1398,T,517,5.2,1000,0,2.01E+13
1398,T,518,5.2,4000,0,2.01E+13
1398,T,519,5.2,1000,0,2.01E+13
1398,T,520,5.2,1000,0,2.01E+13
1398,T,521,5.2,17000,0,2.01E+13
1398,T,522,5.19,19000,0,2.01E+13
1398,T,523,5.19,20000,0,2.01E+13
1398,T,524,5.19,4000,0,2.01E+13
1398,T,525,5.19,16000,0,2.01E+13
1398,T,526,5.19,87000,0,2.01E+13
1398,T,527,5.19,33000,0,2.01E+13
1398,T,528,5.19,58000,0,2.01E+13
1398,T,529,5.19,11000,0,2.01E+13
1398,T,530,5.2,1000,0,2.01E+13
1398,T,531,5.195,2000,101,2.01E+13
1398,T,532,5.195,1000,101,2.01E+13
1398,T,533,5.2,6000,0,2.01E+13
1398,T,534,5.2,14000,0,2.01E+13
1398,T,535,5.19,39000,0,2.01E+13
1398,T,536,5.19,1000,0,2.01E+13
1398,T,537,5.19,8000,0,2.01E+13
1398,T,538,5.19,3000,0,2.01E+13
1398,T,539,5.19,50000,0,2.01E+13
1398,T,540,5.19,2000,0,2.01E+13
1398,T,541,5.19,23000,0,2.01E+13
1398,T,542,5.19,94000,0,2.01E+13
1398,T,543,5.19,12000,0,2.01E+13
1398,T,544,5.19,18000,0,2.01E+13
1398,T,545,5.19,31000,0,2.01E+13
1398,T,546,5.19,1000,0,2.01E+13
1398,T,547,5.19,100000,0,2.01E+13
1398,T,548,5.19,2000,0,2.01E+13
1398,T,549,5.19,1000,0,2.01E+13
1398,T,550,5.19,1000,0,2.01E+13
1398,T,551,5.19,10000,0,2.01E+13
1398,T,552,5.18,46000,0,2.01E+13
1398,T,553,5.18,4000,0,2.01E+13
1398,T,554,5.19,12000,0,2.01E+13
1398,T,555,5.19,20000,0,2.01E+13
1398,T,556,5.19,45000,0,2.01E+13
1398,T,557,5.19,1000,101,2.01E+13
